"will","remove","you","free","charExclamation","charDollar","type"
0.64,0,1.93,0.32,0.778,0,"spam"
0.79,0.21,3.47,0.14,0.372,0.18,"spam"
0.45,0.19,1.36,0.06,0.276,0.184,"spam"
0.31,0.31,3.18,0.31,0.137,0,"spam"
0.31,0.31,3.18,0.31,0.135,0,"spam"
0,0,0,0,0,0,"spam"
1.28,0,3.85,0.96,0.164,0.054,"spam"
0,0,0,0,0,0,"spam"
0.92,0.3,1.23,0,0.181,0.203,"spam"
0.64,0.38,1.67,0,0.244,0.081,"spam"
0,0.96,3.84,0,0.462,0,"spam"
0.12,0.25,1.16,0,0.663,0,"spam"
0.69,0,2.09,0.34,0.786,0,"spam"
0,0.9,2.72,0,0,0,"spam"
0.35,0,3.21,5.35,0.357,0,"spam"
0,0.42,1.7,1.27,0.572,0.063,"spam"
0,0,1.88,0,0.428,0,"spam"
0,0,0,0,1.975,0.37,"spam"
0,0.18,3.15,0,0.455,0,"spam"
0.63,0,2.22,0.63,0.055,0.496,"spam"
0,0,0,0,0.729,0,"spam"
0.47,0.15,2.09,0,0.25,0.046,"spam"
0,0,0,2.94,0.809,0,"spam"
0.58,0,1.16,1.16,0.667,0,"spam"
0,0,0,0,0.392,0.196,"spam"
0.47,0.15,2.09,0,0.25,0.046,"spam"
0,0,0,0,0.392,0.196,"spam"
0,1.66,3.33,0,0.368,0,"spam"
0,0,0,3.33,0.352,0,"spam"
0.65,0.65,1.3,0.65,0.091,0,"spam"
1.17,0,3.52,0,0.886,0,"spam"
0,0,0,3.03,2.112,0,"spam"
0.81,0,3.51,0.27,0,0.091,"spam"
0,0,4.83,0,0,0.302,"spam"
0,0,2.04,0,0,0,"spam"
0,0,5.12,0,1.543,0,"spam"
0,0,0,2.94,0.873,0,"spam"
0.97,0.48,2.43,0.48,0.488,0.244,"spam"
0.97,0,1.46,0.48,0.963,0,"spam"
0.41,0,2.08,0.41,0.75,0,"spam"
0.3,0,2.76,0,0.207,0.207,"spam"
0,0,0,2.94,0.671,0,"spam"
0,0,0,2.94,0.711,0,"spam"
0.18,0.18,3.15,0,0.426,0,"spam"
0.52,0.26,1.82,0.26,0.813,0.036,"spam"
0.9,0,4.07,0,1.318,0.068,"spam"
0.54,0.06,4.54,0,0.01,0.167,"spam"
2.48,0,3.48,4.97,0.17,0,"spam"
0.97,0.05,3.22,0.25,0.325,0.756,"spam"
0.73,0.06,3.51,0.26,0.278,0.23,"spam"
1.92,0,1.92,0,0,0,"spam"
0.36,0.73,2.19,1.09,0.498,0.332,"spam"
0.64,0.38,1.67,0,0.244,0.071,"spam"
1.26,0,0,0,0.198,0.596,"spam"
0.36,0.73,2.2,1.1,0.5,0.333,"spam"
0,0,1.08,1.08,1.478,0,"spam"
1.04,1.04,3.66,0,0.615,0.061,"spam"
2.53,0,2.53,0,0,0,"spam"
0.45,0,1.36,0.45,1.501,0,"spam"
0.42,0,2.1,0.42,0.669,0,"spam"
0.59,0.59,1.77,0,0,0,"spam"
0,0,7.1,0.23,0.175,0,"spam"
0.93,0.93,0.93,1.39,0,0,"spam"
0,0.68,3.42,0.34,0.048,0.048,"spam"
0.72,0,4.1,0,0.019,0.019,"spam"
0,0,1.32,1.98,2.205,0,"spam"
0,0.48,0.97,0.48,0.589,0.294,"spam"
1.47,1.47,5.88,0,0.5,0,"spam"
0.92,0,5.53,2.15,1.053,0.351,"spam"
0,0,0,0,0,0.1,"spam"
1.26,2.53,2.53,0,0.537,0,"spam"
0.53,0,1.6,0.53,0.877,0,"spam"
0.44,0,2.24,0.44,0.807,0,"spam"
0.46,0.46,2.76,0.92,0.298,0.223,"spam"
0.96,0.48,2.41,0.48,0.486,0.243,"spam"
0,0,0.94,2.83,1.366,0,"spam"
0.59,0,4.14,0,0.165,0.082,"spam"
1.51,0,2.96,0.37,0.437,0.234,"spam"
0,0.2,2.09,0.83,0.132,0,"spam"
0,0,5.26,0,0,0.338,"spam"
0,0,5.55,0,1.431,0,"spam"
0.47,0.23,2.38,0.23,0.197,0,"spam"
0,0,1.45,2.91,0.495,0,"spam"
0,0,2.56,1.28,0.724,0,"spam"
0,0,0,0,0.834,0,"spam"
0,0.46,0.93,1.86,0.571,0.214,"spam"
0.38,0,2.69,0.38,0.061,0.061,"spam"
0,0,3.96,0.79,0.268,0,"spam"
0.33,0,1.14,0.2,0.096,0.085,"spam"
0,0,0,0,0,0,"spam"
0.56,1.12,3.93,0.56,1.083,0.333,"spam"
0.97,0.05,3.25,0.26,0.322,0.764,"spam"
0.67,0.03,3.43,0.22,0.613,0.532,"spam"
0.67,0.03,3.43,0.22,0.612,0.531,"spam"
1.38,0,2.77,0,0.082,0.823,"spam"
0,0.46,1.87,0,0,0,"spam"
0.7,0,2.11,1.05,1.284,0,"spam"
0.43,0,1.29,0.43,0.736,0,"spam"
0,0,1.21,0.6,0.31,0,"spam"
0.41,0,3.73,0.41,0.461,0.527,"spam"
0,0.7,4.96,2.83,0.38,0,"spam"
0,0,2.59,0.64,0.662,0,"spam"
0,0,0,0,1.529,0,"spam"
0,0,2.59,0.64,0.662,0,"spam"
0,0,0,0,1.529,0,"spam"
0,0,2.59,0.64,0.662,0,"spam"
0,0,0,0,1.529,0,"spam"
0,0,1.58,0.79,0.462,0,"spam"
0,0,0,0,1.529,0,"spam"
1.96,1.96,3.92,0,0,0,"spam"
0,2.46,0,2.46,1.907,0,"spam"
0,0,2.38,0,0,0,"spam"
0.38,0.76,1.52,0,0,0.177,"spam"
0,0,0.95,0,0,0,"spam"
0.88,0.12,2.9,0.25,0,0.119,"spam"
0,0,1.53,0.51,0.542,0,"spam"
0.3,0,1.55,0,0.054,0.118,"spam"
0.3,0,1.55,0,0.054,0.118,"spam"
1.28,2.56,2.56,0,0.542,0,"spam"
0.55,1.11,3.91,0.55,1.158,0.331,"spam"
0.3,0,1.55,0,0.054,0.118,"spam"
0.3,0,1.55,0,0.054,0.118,"spam"
0.73,0,3.08,0.23,0.335,1.281,"spam"
0,0.16,0.16,0.16,0.271,0.024,"spam"
0,0.3,0.3,0,0.092,0.322,"spam"
1.51,0.33,2.18,0,1.194,0.054,"spam"
1.01,0,4.04,0,0.089,0.178,"spam"
